Unique Product Identifier (UPC or SKU),Manufacturer,Brand Name,Product Name,Category,Flavor,Date Added to Directory
810029040983,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Pink Lemonade 60ml 0mg,E-liquid,Strawberry & Lemonade,05/29/2025
810029040990,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Pink Lemonade 60ml 3mg,E-liquid,Strawberry & Lemonade,05/29/2025
810029041003,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Pink Lemonade 60ml 6mg,E-liquid,Strawberry & Lemonade,05/29/2025
810029041188,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Pink Lemonade Salt 30ml 24mg,E-liquid,Strawberry & Lemonade,05/29/2025
810029041195,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Pink Lemonade Salt 30ml 48mg,E-liquid,Strawberry & Lemonade,05/29/2025
810029040280,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Royalty Ii 100ml 0mg,E-liquid,Tobacco Flavor,05/29/2025
810029040297,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Royalty Ii 100ml 3mg,E-liquid,Tobacco Flavor,05/29/2025
810029040303,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Royalty Ii 100ml 6mg,E-liquid,Tobacco Flavor,05/29/2025
810029040310,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Royalty Ii 100ml 12mg,E-liquid,Tobacco Flavor,05/29/2025
810029040129,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Royalty Ii 60ml 0mg,E-liquid,Tobacco Flavor,05/29/2025
810029040136,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Royalty Ii 60ml 3mg,E-liquid,Tobacco Flavor,05/29/2025
810029040143,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Royalty Ii 60ml 6mg,E-liquid,Tobacco Flavor,05/29/2025
810029040150,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Royalty Ii 60ml 12mg,E-liquid,Tobacco Flavor,05/29/2025
810029044356,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Royalty Ii Salt 30ml 12mg,E-liquid,Tobacco Flavor,05/29/2025
810029040389,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Royalty Ii Salt 30ml 24mg,E-liquid,Tobacco Flavor,05/29/2025
810029040396,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Royalty Ii Salt 30ml 48mg,E-liquid,Tobacco Flavor,05/29/2025
810029040242,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Rainbow Road 100ml 0mg,E-liquid,Fruit Mix,05/29/2025
810029040259,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Rainbow Road 100ml 3mg,E-liquid,Fruit Mix,05/29/2025
810029040266,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Rainbow Road 100ml 6mg,E-liquid,Fruit Mix,05/29/2025
810029040082,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Rainbow Road 60ml 0mg,E-liquid,Fruit Mix,05/29/2025
